latitude,longitude,depth,gap,dmin,rms,horizontalError,depthError,magError,magNst
18.5882,145.6762,205.35,80,5.03,0.62,9.5,7.6,0.053,104
36.5934,70.8676,208.39,98,1.129,1.07,8.7,8.7,0.154,12
33.186,137.9266,343.04,58,1.503,0.58,8.3,6,0.028,403
23.9818,121.586,16.6,91,0.191,0.4,4.2,1.2,0.046,153
36.0441,70.1732,112.26,99,1.761,0.37,8.2,10.9,0.186,8
46.8235,152.9599,35,136,6.992,0.62,7.7,1.9,0.061,82
48.4533,154.8797,35,138,4.991,0.8,9.3,2,0.108,25
9.4648,123.1508,10,98,3.382,0.5,9.7,1.9,0.093,34
36.4753,70.4965,200.32,88,1.405,1.43,7,8,0.124,18
54.9147,111.7183,10,76,7.504,0.62,5.8,1.9,0.054,101
58.7474,158.9228,14.91,118,4.278,0.57,5.8,4.5,0.062,78
37.0996,141.2942,46.33,119,0.866,0.91,6.9,6.2,0.038,221
36.3213,141.8009,21.93,89,1.743,0.45,6.9,4.9,0.075,17
43.8744,86.5553,10,51,4.19,0.9,8,1.9,0.08,46
19.4562,144.5374,10,105,7.905,0.62,13.1,1.9,0.106,27
38.5537,70.5724,10,92,0.488,0.62,4.3,1.8,0.071,63
9.4638,126.36,35,95,2.501,0.73,9.1,2,0.075,54
36.2949,141.9999,19.16,130,1.845,0.78,2.3,5.4,0.078,16
40.3011,77.6325,10,69,1.501,0.58,6.5,1.9,0.082,45
23.7431,63.9563,15.66,180,7.17,0.75,12.1,3.8,0.126,18
36.6966,71.0477,98.04,109,0.965,0.81,7.8,9,0.261,4
34.3875,70.49,65.03,171,1.205,1.16,8,9,0.16,11
19.5466,144.5567,10,54,7.823,0.73,11.1,1.8,0.038,225
34.5506,140.1244,58.33,120,1.454,0.67,7.2,2.7,0.13,18
39.1276,142.3716,26.01,128,1.766,0.69,7.6,5.7,0.069,64
40.8987,141.3748,89.25,133,0.259,0.88,7.6,6.1,0.086,13
36.6706,70.8862,243.88,77,1.057,0.54,7.7,9.4,0.218,6
41.104,143.3093,36.53,216,0.917,0.52,7.9,12.9,0.216,6
30.0593,70.3816,20.88,182,4.609,0.51,13,4,0.197,7
39.7671,74.4116,53.28,68,1.898,1.44,5.4,14.9,0.236,6
44.3444,140.9769,240.6,61,1.183,0.78,6.9,8.2,0.078,46
45.02,147.6023,107.36,187,3.691,0.61,15.8,14.9,0.161,11
27.9852,92.5815,10,76,2.135,1.26,6.6,1.9,0.078,51
36.1883,70.4385,111.95,72,0.942,1.35,7.3,9.7,0.126,19
36.5512,70.5232,205.52,94,1.334,0.67,8.6,5.4,0.189,8
23.5476,94.32,83.34,100,0.679,0.6,6.2,5.8,0.062,76
41.4349,143.1458,35.93,136,0.579,0.7,6.4,8.6,0.161,11
27.4987,142.3556,35,138,0.429,1.25,9.7,2,0.066,70
35.8167,68.6819,22.43,37,1.307,0.97,3.5,4.5,0.071,19
36.5401,141.0175,43.61,138,1.338,0.86,6.9,6.9,0.064,74
27.1973,96.929,52.05,20,3.788,0.84,7.8,6.1,0.073,18
19.3496,145.6536,94.5,96,5.777,1.08,10,8.1,0.047,140
41.3502,143.1771,9,19,0.664,0.56,5,1.7,0.056,31
40.3755,142.706,49.35,154,1.316,0.97,6.9,8.1,0.103,28
48.3806,154.9629,35,92,5.041,0.65,9.8,2,0.036,248
36.6789,70.9492,224.27,85,1.022,0.49,8.6,8.8,0.2,7
36.0703,139.7598,54.19,98,1.343,0.79,5.9,5.6,0.068,21
37.5114,141.4814,40.12,160,0.654,0.85,7.8,10.2,0.142,14
38.8713,141.8403,48.67,145,1.297,0.73,8.6,3.3,0.156,12
50.0727,156.142,66.34,128,3.191,0.62,9.7,7.8,0.045,151
18.8026,145.2569,273.88,101,18.139,0.54,14,8.4,0.081,43
23.4163,118.5815,11.45,13,1.057,0.91,5.3,2.9,0.061,26
39.8111,73.6973,10,113,1.497,1.44,5,2,0.212,6
10.3772,126.2883,10,147,10.858,1.14,14.9,1.9,0.192,11
18.0725,146.5039,58.27,75,4.727,0.73,7.3,7.9,0.087,39
44.6544,81.5084,10,46,2.178,0.52,2.4,1.9,0.052,120
