year,month,day,hour,latitude,longitude,depth,mag
2018,12,15,21,36.2806,-97.5172,5,2.6
2018,12,15,21,36.2994,-97.5306,5,2.9
2018,12,15,20,40.364666,-123.80233,-1.24,2.72
2018,12,15,16,40.045166,-120.8024979,1.53,2.56
2018,12,15,14,38.8110008,-122.8213348,2.49,2.96
2018,12,15,6,36.4481,-98.7588,5,3.1
2018,12,14,23,39.5997,-107.3557,2.6,2.5
2018,12,14,17,36.4497,-98.7778,8.1,2.9
2018,12,14,14,40.2878342,-124.2539978,10.48,2.77
2018,12,14,11,40.3616676,-124.2890015,33.2,2.82
2018,12,13,18,36.1468333,-83.7523333,4.76,2.65
2018,12,13,16,41.3692,-100.2008,5,3.2
2018,12,13,11,40.4163322,-124.3628311,27.15,2.94
2018,12,12,13,45.3391,-112.5882,6.97,2.5
2018,12,12,9,35.6005,-84.735,5.09,2.96
2018,12,12,9,35.6144981,-84.739502,8.98,4.4
2018,12,11,13,36.7956667,-113.6803333,1.01,2.62
2018,12,11,12,35.3725,-117.8563333,2.02,2.69
2018,12,11,11,39.587,-107.342,5,3.2
2018,12,11,11,39.6031,-107.3526,5,3.6
2018,12,11,10,39.5699,-107.3117,5,3.4
2018,12,11,6,40.2893333,-124.5143333,19.86,2.98
2018,12,10,21,36.8403,-98.232,6.39,2.6
2018,12,10,12,39.7075,-98.2954,9.29,2.7
2018,12,10,12,38.0578333,-122.2248333,8.46,2.55
2018,12,10,7,38.7356667,-122.7235,1.53,3.09
2018,12,9,21,36.2794,-97.5145,4.19,2.5
2018,12,9,13,38.7883333,-122.7295,1.78,2.71
2018,12,9,6,36.4433,-98.8044,5,2.8
2018,12,9,5,34.497,-97.697,5,2.5
2018,12,8,22,34.2363333,-117.4473333,10.33,2.54
2018,12,8,6,35.6795,-84.564,21.84,2.71
2018,12,7,19,39.6471,-98.3829,5,2.9
2018,12,7,7,36.6506667,-121.2736667,9.05,2.75
2018,12,7,7,36.6555,-121.2711667,8.36,2.83
2018,12,6,14,33.4885,-116.8036667,2.18,2.6
